media_id,media_name,location,specification,slot_count,media_type,operating_hours,guaranteed_exposure,duration_seconds,quantity,unit_price,image_day_url,image_night_url,image_map_url,population_target,media_characteristics,case_examples
1,"강남대로 논현사거리 국전빌딩","서울시 서초구 강남대로 543","13m x 8m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","직장인 및 쇼핑객, 20-50대 남녀, 일 유동인구 17만명, 월 소득 500만원 이상 비율 높음","고해상도 LED 디스플레이로 주목도가 높으며, 강남대로의 중심에 위치하여 넓은 가시권 확보","현대자동차 신차 출시 캠페인(2024년 1분기), 삼성전자 갤럭시 신제품 런칭(2023년 4분기)"
2,"서울 고속버스터미널 (경부선)","서울시 서초구 신반포로 194","20m x 11m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","전국 각지 방문객 및 지역 거주자, 10-60대 전 연령층, 일 유동인구 36만명","24시간 운영되는 교통 허브로, 전국 단위 광고 캠페인에 적합한 매체","신세계백화점 시즌 세일(2024년 1분기), 롯데관광 제주도 패키지(2023년 여름)"
3,"삼성역 루첸타워","서울시 강남구 테헤란로 510","11m x 20m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","비즈니스 전문직, 30-50대, 직장인 중심, 지하철 승차객 일 5.5만명","90도에 가까운 각도로 다각도에서 광고 노출이 가능하며, 코엑스와 현대백화점 인근 위치","SK텔레콤 5G 서비스 론칭(2023년 4분기), 현대카드 신규 카드 출시(2024년 1분기)"
4,"잠실역 유토피아","서울시 송파구 올림픽로 240","12.5m x 15.5m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,12000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","잠실 거주자 및 방문객, 롯데월드 방문객, 20-40대 가족 단위, 유동인구 일 20만명","롯데월드타워, 롯데월드, 롯데백화점, 샤롯데시어터 등 복합 상권 내 위치","쿠팡 블랙프라이데이 프로모션(2023년 11월), 롯데월드 시즌 이벤트(2024년 봄)"
5,"광화문 청계광장 청계주차타워","서울시 종로구 종로 10-7","12m x 18.6m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","비즈니스 전문직 및 공무원, 30-50대, 관광객, 유동인구 일 28만명","소비력을 갖춘 3040 직장인이 밀집한 CBD권역에 위치하며, 주변 관광지와 근거리 위치","신한카드 프리미엄 카드 출시(2023년 4분기), 외국인 관광객 대상 서울시 캠페인(2024년 봄)"
6,"광화문 청계광장 청계한국빌딩","서울시 종로구 서린동 149","13m x 17.3m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","중앙 정부 부처 공무원, 주변 기업 직장인, 30-50대, 유동인구 일 28만명","청계천 인근에 위치하여 관광객 및 직장인에게 높은 노출도 확보","KB국민은행 모바일뱅킹 서비스(2023년 하반기), 현대백화점 시즌 세일(2024년 초)"
7,"광화문 적선 현대빌딩","서울시 종로구 사직로 130","19m x 10m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","정부 부처 공무원, 외국인 관광객, 내국인 관광객, 직장인구 19만명","경복궁, 안에서도 광고를 볼 수 있는 특별한 위치, 관광 명소와 직장 밀집 지역 모두 커버","문화체육관광부 국내 관광 캠페인(2023년 가을), 삼성화재 보험 상품(2024년 1분기)"
8,"서울역 부양빌딩","서울시 용산구 동자동 43-74","10.8m x 19m",24,"벽면형 가로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","출퇴근 인구, KTX 이용객, 관광객, 10-60대 전 연령층, 교통 중심지","한강대로, 통일로, 세종대로, 퇴계로가 만나는 교통 중심지에 위치하여 높은 가시성 확보","한국철도공사 KTX 프로모션(2023년 겨울), 남산타워 관광 홍보(2024년 봄)"
9,"시청앞 재능교육빌딩","서울시 중구 을지로1가 192-11","13.4m x 8.4m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,5000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","공무원, CBD 직장인, 쇼핑객, 30-50대, 유동인구 17만명","높은 유동인구 수와 고소득 직장 인구가 밀집한 지역으로 구매력 있는 소비층 대상","LG전자 신규 가전제품 출시(2023년 겨울), 금융권 연간 캠페인(2024년 상반기)"
10,"강서구청사거리 귀뚜라미 사옥","서울시 강서구 공항대로 396","16m x 9m",24,"가로 벽면형 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","강서구 주민, 인근 아파트 거주자, 30-50대 가족 단위, 주거인구 19만명","전광판이 교차로 라인을 향해 위치해 주시 방해요소가 없으며, 외벽이 높은 곳에 설치","귀뚜라미보일러 시즌 캠페인(2023년 겨울), 강서구 지역 아파트 분양(2023년 가을)"
11,"김포공항 동아빌딩","서울시 강서구 개화동로 565","8.4m x 4.8m",24,"벽면형 가로 사이니지","06:00~24:00",0,15,1,5000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","공항 이용객, 비즈니스 출장자, 관광객, 20-60대, 김포공항 여객 수 월평균 약 185만명","공항 및 근처 시설 방문객을 타겟으로 하는 여행 업종 등의 광고에 적합","대한항공 국내선 프로모션(2023년 여름), 여행사 패키지 상품(2024년 봄)"
12,"홍대입구역 스칼렛 전광판","서울시 마포구 양화로 148","12.8m x 16.6m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","대학생, MZ세대, 예술인, 외국인 관광객, 20-30대, 28개 정류장 쇼핑/유흥/대학 등 상권 발달","눈에 띄는 건물 외벽으로 인해 더욱 자연스럽게 시선이 집중되며, 홍대 문화의 중심지","카카오 신규 서비스 런칭(2023년 가을), 애플 아이폰 신제품 출시(2023년 겨울)"
13,"이대사거리 중앙빌딩","서울시 마포구 신촌로 176","15m x 8m",24,"옥상형 가로 사이니지","06:00~24:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","여대생, 대학생, 20-30대 여성, 쇼핑객, 이화여자대학, 연세대학, 서강대학등 대학 상권","1020 여성 및 젊은층 대상의 광고 캠페인 집행에 유리한 위치로, 패션/뷰티 업종 선호","아모레퍼시픽 화장품 신제품(2023년 가을), 온라인 쇼핑몰 시즌 프로모션(2024년 봄)"
14,"N.square 강남대로","서울시 강남구 강남대로 390","15m x 9m",24,"지하철 광고 사이니지","06:00~22:00",0,15,1,4500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","강남역 이용객, 직장인, 쇼핑객, 20-50대, 유동인구 고밀도 지역","서울 핵심 상권에 위치해 유동인구가 많으며, 지하철 이용객들에게 효과적인 노출","현대카드 신규 출시(2023년 하반기), 넷플릭스 오리지널 시리즈(2024년 초)"
15,"지하철 6호선 연신내역","서울시 은평구 통일로 747","8m x 6m",20,"지하철 스크린도어 광고","05:30~24:00",0,15,1,3000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","지역 주민, 출퇴근 인구, 학생, 30-50대 주 연령층, 일평균 승하차 인원 6.8만명","3호선과 6호선의 환승역으로 높은 유동인구를 자랑하며, 역 주변 상권과 연계 효과","이마트 트레이더스 신규 오픈(2023년 가을), 지역 아파트 분양(2024년 봄)"
16,"신분당선 강남역","서울시 서초구 서초대로 370","9m x 5m",30,"지하철 스크린도어 광고","05:30~01:00",0,15,1,3500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","판교-강남 출퇴근 인구, 비즈니스 전문직, 30-40대, 일평균 승하차 인원 12만명","신분당선을 이용하는 고소득 직장인들에게 효과적인 노출, 출퇴근 시간 집중 노출 가능","SK하이닉스 기업 이미지 캠페인(2023년 4분기), 금융권 투자상품(2024년 1분기)"
17,"가로변 버스쉘터 강남대로","서울시 강남구 강남대로 일대","5m x 2.5m",50,"버스정류장 쉘터 광고","24:00~24:00",0,15,1,300000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","버스 이용객, 보행자, 전 연령층, 특히 출퇴근 시간대 직장인","서울 전 지역 2100여 기가 설치된 생활밀착형 매체로, 지역 타겟팅 용이","음료 브랜드 시즌 캠페인(2023년 여름), 배달앱 신규 서비스(2024년 초)"
18,"디지털 버스쉘터 종로","서울시 종로구 종로 일대","3m x 1.8m",40,"버스정류장 디지털 광고","06:00~24:00",0,15,1,800000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","직장인, 관광객, 쇼핑객, 학생, 전 연령층, 서울 주요 40개 정류장 디지털 디스플레이 설치","디지털 방식으로 시간대별 다른 콘텐츠 노출 가능, 날씨/시간에 따른 맞춤형 광고 가능","공연 티켓 판매(2023년 하반기), 코스메틱 브랜드 프로모션(2024년 봄)"
19,"빅사이트 전광판 강남대로","서울시 강남구 강남대로 일대","11.24m x 19.98m",20,"빌딩 외벽 전광판","06:00~00:00",0,20,1,1500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","강남 상권 방문객, 직장인, 쇼핑객, 20-50대, 유동인구 일 150회 이상 노출","건물 코너에 위치해 두 방향에서 모두 시인성이 좋으며, 야간에도 뛰어난 시각적 효과","삼성전자 플래그십 스토어 오픈(2023년 겨울), 현대차 전기차 출시(2024년 봄)"
20,"현대백화점 그룹 전광판","서울시 강남구 테헤란로 98길 12","13m x 7m",20,"백화점 외벽 전광판","10:30~20:00",0,15,1,1200000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","백화점 쇼핑객, 중산층 이상 가족, 30-50대 여성, 직장인","백화점 방문 고객을 타겟으로 하는 명품, 화장품, 식품 등의 광고에 적합","LF 시즌 의류 컬렉션(2023년 가을), 해외 명품 브랜드 팝업스토어(2024년 봄)"
21,"엘리베이터 광고 타운보드","서울시 주요 아파트 단지 내 엘리베이터","25인치 LCD",40,"엘리베이터 디지털 사이니지","06:00~24:00",3000,15,20000,80000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","아파트 거주민, 30-50대 가족 단위, 주부층, 서울 전 지역 확보","전국 2만대 설치된 생활밀착형 매체로, 일상생활 속에서 반복 노출되는 효과","대형마트 주간 행사(2023년 연중), 아파트 인근 상권 프로모션(2024년 상반기)"
22,"오피스보드 풀 스크린형","서울시 주요 오피스 빌딩","25인치/34인치",30,"엘리베이터 디지털 사이니지","06:00~24:00",3000,15,1,20000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","직장인, 비즈니스 전문직, 30-40대, 중상위층 소득자","주요 프라임 오피스 빌딩 엘리베이터 대기 공간에 위치한 디지털 사이니지로 음성 표출 가능","금융권 상품 홍보(2023년 4분기), IT 기업 서비스 홍보(2024년 1분기)"
23,"오피스보드 분할형","서울시 주요 오피스 빌딩","25인치/34인치",30,"엘리베이터 디지털 사이니지","06:00~24:00",3000,15,1,15000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","화이트칼라 직장인, 30-50대, 고학력/고소득층","여러 광고주가 하나의 화면을 분할하여 사용 가능한 경제적인 옵션 제공","증권사 금융상품(2023년 하반기), B2B 서비스 홍보(2024년 1분기)"
24,"코엑스 디지털 사이니지","서울시 강남구 영동대로 513","49인치/55인치",20,"주차장 디지털 사이니지","08:00~22:00",3000,15,1,5000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","코엑스 방문객, 전시회/컨퍼런스 참석자, 쇼핑객, 30-50대 비즈니스 관련 방문객","KIOSK 18대 및 OLED 5대로 구성된 주차장 주요 출입구 디지털 사이니지","국제 전시회 및 컨퍼런스 홍보(2023년 연중), 코엑스몰 입점 브랜드(2024년 상반기)"
25,"코엑스 라이트 박스 B2","서울시 강남구 영동대로 513 B2","4m x 2m",3,"주차장 라이트박스","24:00~24:00",0,0,1,5500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","자가용 방문객, 중상위층, 30-50대, 주차장 이용객","주차장 출입구 주변 유동인구 많은 위치에 설치된 조명 효과가 뛰어난 광고판","자동차 브랜드 홍보(2023년 4분기), 명품 브랜드 팝업스토어(2024년 봄)"
26,"키로뷰 공항 광고","서울시 강서구 하늘길 112 김포공항","캐리어 저울 43인치",15,"공항 디지털 사이니지","02:00~25:00",150,15,182,20000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","항공 여행객, 비즈니스 출장자, 관광객, 20-60대, 월 평균 이용객 390만명","실용적인 캐리어 무게 측정 서비스와 함께 광고 메시지를 효과적으로 전달","여행사 패키지 상품(2023년 여름), 면세점 할인 프로모션(2024년 설날)"
27,"기아 오토큐 LCD 광고","서울시 주요 기아오토큐 지점","LCD 32인치",20,"매장 내 디지털 사이니지","09:00~18:00",40,30,760,5000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","자동차 소유 고객, 중상위층, 30-50대 남성 비중 높음","정비중 평균 대기시간 30~60분 동안 집중 노출 가능한 매체","자동차 관련 용품(2023년 연중), 보험 상품(2024년 1분기)"
28,"타운보드 서울/수도권","서울 및 수도권 아파트 엘리베이터","25인치 LCD",40,"엘리베이터 디지털 사이니지","06:00~24:00",3000,15,10000,45000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","아파트 거주민, 30-50대 가족 단위, 주부층","수도권 1만대 설치로 높은 도달률과 반복 노출 효과, 가정 내 의사결정권자 타겟팅","식품 브랜드 신제품(2023년 하반기), 가전제품 출시(2024년 봄)"
29,"강남역 교보타워 전광판","서울시 서초구 강남대로 465","18m x 10m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,10000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","강남역 이용객, 직장인, 쇼핑객, 학생, 20-50대, 일 평균 유동인구 20만명 이상","고해상도 LED 디스플레이로 강남역 초역세권에 위치하여 가시성 우수, 2호선 최대 승하차역","교보문고 시즌 프로모션(2023년 겨울), 삼성전자 갤럭시 신제품(2024년 봄)"
30,"청담동 MCM 빌딩 전광판","서울시 강남구 압구정로 416","15m x 12m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,9000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","명품 소비층, 30-50대 고소득층, 외국인 관광객, 청담동 방문객","명품 브랜드가 밀집한 청담동 중심부에 위치, 고급스러운 이미지 전달에 효과적","루이비통 시즌 컬렉션(2023년 가을), 고급 시계 브랜드 런칭(2024년 1분기)"
31,"명동 엠플라자 전광판","서울시 중구 명동길 14","20m x 15m",24,"벽면형 세로 사이니지","06:00~24:00",0,15,1,12000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","국내외 관광객, 쇼핑객, 10-40대, 특히 외국인 관광객 비중이 높은 지역, 일 유동인구 30만명","국내외 관광객과 젊은층이 집중되는 서울 핵심 상권에 위치하여 뛰어난 노출 효과","화장품 브랜드 홍보(2023년 연중), 관광청 캠페인(2024년 봄)"
32,"동대문 두타몰 전광판","서울시 중구 장충단로 275","25m x 18m",24,"벽면형 세로 사이니지","10:00~05:00",0,15,1,8000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","패션 관계자, 도매상인, 외국인 관광객, 20-40대, 심야시간대 활발한 상권","심야시간대까지 운영되는 동대문 특성에 맞춰 야간 노출 효과가 뛰어난 매체","의류 브랜드 홍보(2023년 연중), 동대문 쇼핑 축제(2024년 봄)"
33,"여의도 IFC몰 전광판","서울시 영등포구 국제금융로 10","14m x 8m",24,"빌딩 외벽 전광판","06:00~24:00",0,15,1,8500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","금융권 종사자, 외국계 기업 직원, 30-50대 고소득 직장인","국내 금융 중심지에 위치해 경제력 있는 소비자층에게 효과적인 노출","금융상품 홍보(2023년 하반기), 명품 시계 브랜드(2024년 1분기)"
34,"여의도 63빌딩 전광판","서울시 영등포구 63로 50","30m x 15m",24,"옥상형 가로 사이니지","06:00~24:00",0,20,1,18000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","금융권 종사자, 관광객, 한강공원 방문객, 20-60대 전 연령층","서울 전 지역에서 시인성이 좋은 초대형 전광판으로, 한강변에서도 가시성 우수","한화생명 기업 이미지 캠페인(2023년 연중), 대규모 콘서트 홍보(2024년 여름)"
35,"잠실 롯데월드타워 전광판","서울시 송파구 올림픽로 300","40m x 20m",24,"빌딩 외벽 전광판","06:00~24:00",0,20,1,20000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","쇼핑객, 관광객, 송파구 주민, 전 연령층, 특히 가족 단위 방문객 다수","서울 어디서나 볼 수 있는 압도적인 크기와 높이로 뛰어난 시인성 확보","롯데그룹 통합 브랜드 캠페인(2023년 연중), 롯데월드 어드벤처 시즌 프로모션(2024년 봄)"
36,"강남 파르나스몰 전광판","서울시 강남구 테헤란로 521","12m x 8m",24,"쇼핑몰 외벽 전광판","10:00~22:00",0,15,1,7500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","쇼핑객, 외국인 관광객, 비즈니스 출장자, 30-50대 고소득층","국제 전시회, 컨퍼런스와 연계한 마케팅에 효과적인 위치","명품 브랜드 시즌 캠페인(2023년 가을), 호텔 신규 레스토랑 오픈(2024년 초)"
37,"압구정 로데오거리 전광판","서울시 강남구 압구정로 144","10m x 7m",24,"건물 외벽 전광판","06:00~24:00",0,15,1,6500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","20-40대 패션 피플, 고소득층, 외국인 관광객, 압구정 로데오거리 방문객","패션, 뷰티, 라이프스타일 브랜드에 적합한 트렌디한 지역에 위치","패션 브랜드 시즌 캠페인(2023년 가을), 코스메틱 브랜드 신제품(2024년 봄)"
38,"서울시청 서울광장 전광판","서울시 중구 세종대로 110","15m x 10m",24,"건물 외벽 전광판","06:00~24:00",0,15,1,8000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","직장인, 공무원, 관광객, 20-60대 전 연령층, 서울 중심 행정구역","서울 행사, 페스티벌과 연계 마케팅에 효과적인 중심 위치","서울시 문화행사(2023년 연중), 대기업 기업이미지 캠페인(2024년 상반기)"
39,"왕십리 역사 전광판","서울시 성동구 왕십리로 300","9m x 6m",20,"역사 내 디지털 사이니지","05:30~24:00",0,15,1,4000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","출퇴근 인구, 대학생, 인근 주민, 20-40대, 다양한 노선 환승역으로 유동인구 많음","복합 환승역으로 다양한 노선의 이용객들에게 높은 노출도를 자랑하는 매체","배달앱 프로모션(2023년 겨울), 한양대 인근 원룸 홍보(2024년 초)"
40,"건대입구역 전광판","서울시 광진구 능동로 120","8m x 5m",18,"역사 내 디지털 사이니지","05:30~24:00",0,15,1,3800000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","대학생, MZ세대, 20-30대, 대학가 인근으로 젊은층 유동인구 많음","트렌디한 콘텐츠와 젊은 타겟을 중심으로 한 캠페인에 효과적인 매체","스트리밍 서비스 프로모션(2023년 가을), 대학가 카페 오픈(2024년 봄)"
41,"신촌역 전광판","서울시 서대문구 신촌로 119","10m x 6m",20,"역사 내 디지털 사이니지","05:30~24:00",0,15,1,4500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","대학생, 20대 초중반, 교직원, 인근 대학 관련 유동인구","대학가를 중심으로 한 젊은층 타겟 광고에 효과적인 위치","캠퍼스 관련 이벤트(2023년 학기 중), 학원 신규 강좌(2024년 1학기)"
42,"성수동 카페거리 전광판","서울시 성동구 서울숲2길 17-2","8m x 5m",20,"건물 외벽 전광판","10:00~22:00",0,15,1,3500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","MZ세대, 20-30대, 트렌드세터, 인플루언서, 힙한 문화를 즐기는 젊은층","인스타그램 등 SNS 활동이 활발한 지역으로 바이럴 효과 기대 가능","신진 디자이너 브랜드(2023년 가을), 팝업 스토어 오픈(2024년 봄)"
43,"용산 아이파크몰 전광판","서울시 용산구 한강대로23길 55","12m x 7m",24,"쇼핑몰 외벽 전광판","10:30~22:00",0,15,1,5500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","쇼핑객, IT 관련 소비자, 철도 이용객, 20-40대, 남성 비중 높음","IT 제품 및 가전제품 관련 광고에 효과적인 위치로, 용산 전자상가와 인접","전자제품 신규 출시(2023년 하반기), 영화관 개봉작(2024년 봄)"
44,"DMC 상암 전광판","서울시 마포구 상암산로 48-6","20m x 12m",24,"건물 외벽 전광판","06:00~24:00",0,15,1,6000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","방송/미디어 종사자, IT 직장인, 30-40대, 고소득 전문직","주요 방송사와 IT 기업이 밀집된 지역으로 미디어 콘텐츠 홍보에 효과적","방송 프로그램 홍보(2023년 연중), OTT 서비스 프로모션(2024년 상반기)"
45,"고속버스터미널역 전광판","서울시 서초구 반포동 19-4","10m x 7m",20,"역사 내 디지털 사이니지","05:30~24:00",0,15,1,5000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","버스 이용 여행객, 지방 방문객, 20-60대 전 연령층, 전국 연계성","지방과 서울을 오가는 유동인구가 많아 전국 단위 캠페인에 효과적","여행 관련 서비스(2023년 여름), 지방 특산품 프로모션(2024년 설날)"
46,"경복궁역 전광판","서울시 종로구 사직로 130","8m x 6m",18,"역사 내 디지털 사이니지","05:30~24:00",0,15,1,4200000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","외국인 관광객, 내국인 관광객, 인근 직장인, 전 연령층","주요 관광지 접근성이 좋아 관광 관련 홍보에 효과적인 매체","문화 관광 프로그램(2023년 연중), 공연 티켓 판매(2024년 봄)"
47,"이태원역 전광판","서울시 용산구 이태원로 177","7m x 5m",16,"역사 내 디지털 사이니지","05:30~24:00",0,15,1,3800000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","외국인, 외국문화 애호가, 20-40대, MZ세대, 주말 방문객 증가","다양한 문화가 공존하는 이태원 지역 특성을 반영한 국제적 감각의 광고 가능","해외 브랜드 한국 런칭(2023년 가을), 이태원 맛집 프로모션(2024년 봄)"
48,"가로수길 전광판","서울시 강남구 신사동 541-15","9m x 6m",20,"건물 외벽 전광판","10:00~22:00",0,15,1,7000000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","패션 피플, 트렌드세터, 20-30대, 고소득층, 신사동 가로수길 방문객","패션, 뷰티, 라이프스타일 중심의 트렌디한 브랜드에 적합한 위치","SPA 브랜드 시즌 캠페인(2023년 가을), 신진 패션 디자이너 컬렉션(2024년 봄)"
49,"북촌 한옥마을 전광판","서울시 종로구 계동길 37","6m x 4m",16,"건물 외벽 전광판","09:00~21:00",0,15,1,3200000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","국내외 관광객, 문화예술 애호가, 30-50대, 주말 방문객 집중","전통적인 한옥 마을과 조화를 이루는 세련된 디자인의 전광판으로 문화 관련 콘텐츠에 적합","전통 문화 행사(2023년 가을), 북촌 지역 공방/갤러리 전시(2024년 봄)"
50,"한강공원 반포 전광판","서울시 서초구 신반포로11길 40","15m x 8m",24,"공원 내 전광판","06:00~24:00",0,15,1,6500000.00,"/images/day.jpg","/images/night.jpg","/images/map.jpg","공원 이용객, 레저 활동 인구, 가족 단위, 20-50대, 주말 방문객 집중","자연 친화적인 레저, 스포츠, 가족 활동 관련 광고에 적합한 위치","스포츠 브랜드 캠페인(2023년 여름), 한강 페스티벌(2024년 봄)"